ano,matched_tokens,sum_polarity,mean_matched,mean_all,documento
2008,6882,7336,1.0659691950014532,1.0659691950014532,LDO
2009,7025,6496.8,0.9248113879003559,0.9248113879003559,LDO
2010,7704,6548.8,0.8500519210799585,0.8500519210799584,LDO
2011,6421,7622.3,1.1870892384363807,1.1870892384363807,LDO
2012,7385,6736.4000000000005,0.9121733243060258,0.9121733243060257,LDO
2013,7426,6025.35,0.811385671963372,0.811385671963372,LDO
2014,7815,5413.500000000001,0.6927063339731288,0.6927063339731286,LDO
2015,7749,5597.85,0.7223964382500968,0.7223964382500968,LDO
2016,8876,5116.250000000001,0.5764139251915278,0.5764139251915277,LDO
2017,10146,3814.9000000000005,0.37600039424403714,0.37600039424403703,LDO
2018,2,-0.2,-0.1,-0.1,LDO
2019,11458,4254.8,0.3713388025833479,0.37133880258334784,LDO
2020,12871,3387.8500000000004,0.26321575635148786,0.26321575635148775,LDO
2021,11903,3707.4000000000005,0.3114676972191885,0.3114676972191884,LDO
2022,13262,3796.1500000000005,0.28624264816769723,0.2862426481676971,LDO
2023,11083,4189.700000000001,0.3780294144184788,0.3780294144184787,LDO
2024,11932,5193.6,0.4352665102246061,0.4352665102246061,LDO
2025,12354,4268.4000000000005,0.3455075279261778,0.3455075279261777,LDO
2026,6490,6125.700000000001,0.9438674884437598,0.9438674884437597,LDO
2008,16475,4148.15,0.25178452200303486,0.2517845220030349,PPA
2009,159,0,0,0,PPA
2010,151,0,0,0,PPA
2011,9708,3047.9,0.3139575607746189,0.31395756077461884,PPA
2012,39207,14774.85,0.37684214553523604,0.37684214553523604,PPA
2013,17115,931.8000000000001,0.05444347063978966,0.054443470639789666,PPA
2014,17284,4693.05,0.2715256884980329,0.2715256884980329,PPA
2015,16814,4771.2,0.28376353039134056,0.28376353039134056,PPA
2016,98923,57973.1,0.5860426796599375,0.5860426796599375,PPA
2017,83178,44595.350000000006,0.536143571617495,0.536143571617495,PPA
2018,86926,46773.200000000004,0.5380806663138762,0.5380806663138762,PPA
2019,89430,46008.3,0.5144615900704462,0.5144615900704462,PPA
2020,89126,28941.700000000004,0.3247279132912955,0.32472791329129547,PPA
2021,79656,42477.700000000004,0.5332642864316561,0.5332642864316561,PPA
2022,82713,46181.2,0.5583306130837957,0.5583306130837957,PPA
2023,78980,43324.85,0.5485546973917447,0.5485546973917448,PPA
2024,110519,67988,0.6151702422207946,0.6151702422207946,PPA
2025,96835,58858.40000000001,0.6078215521247484,0.6078215521247482,PPA
2026,90975,53751.3,0.5908359439406431,0.590835943940643,PPA
2008,116196,718347.4500000002,6.182204636992669,6.182204636992669,LOA
2009,111179,702591.05,6.319458261002528,6.319458261002527,LOA
2010,136625,825330.8500000003,6.040847941445565,6.040847941445563,LOA
2011,153862,1199300.2000000002,7.794648451209526,7.794648451209526,LOA
2012,254537,99806.30000000008,0.39210920219850187,0.3921092021985017,LOA
2013,101547,36324.7,0.35771317714949724,0.35771317714949724,LOA
2014,108139,49699.24999999999,0.459586735590305,0.45958673559030505,LOA
2015,111040,40216.999999999985,0.3621847982708932,0.36218479827089334,LOA
2016,117555,48294.14999999999,0.4108217430139083,0.41082174301390834,LOA
2017,116096,36012.29999999999,0.31019414966923914,0.3101941496692393,LOA
2018,119720,55885.04999999999,0.46679794520547935,0.4667979452054794,LOA
2019,115166,48878.84999999999,0.4244208360106281,0.42442083601062813,LOA
2020,111287,70924.05,0.6373075920817346,0.6373075920817344,LOA
2021,108295,44473.200000000004,0.41066715914862184,0.41066715914862184,LOA
2022,115539,59703.8,0.5167415331619627,0.5167415331619627,LOA
2023,101992,57287.350000000006,0.5616847399796063,0.5616847399796061,LOA
2024,124487,72979.45,0.5862415352607099,0.58624153526071,LOA
2025,118965,64694.49999999998,0.5438112049762533,0.5438112049762536,LOA
2026,85884,27202.55,0.31673594615993667,0.31673594615993667,LOA
